Geography,Segment,Variety,Timeframe,Period,"Current Year Week Ending","Units Prior Year","Units Current Year","Unit Variance","Dollars Prior Year","Dollars Current Year","Dollar Variance","ASP Prior Year","ASP Current Year","ASP Variance"
"Grand Rapids",Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",607890.78,727755.46,0.197181271,1061753.50,961631.55,-0.094298684,1.746618863,1.321366314,-0.243471863
Harrisburg/Scranton,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",1417442.88,1740355.40,0.227813427,2069006.28,1841491.21,-0.109963448,1.459675239,1.058112160,-0.275104399
Hartford/Springfield,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",1305050.52,1439405.07,0.102949690,2110499.63,1875513.15,-0.111341632,1.617178482,1.302978009,-0.194289299
Houston,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",3594914.85,4164336.91,0.158396538,3934176.67,3219687.32,-0.181610895,1.094372700,0.773157261,-0.293515582
Indianapolis,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",1077009.36,1142657.73,0.060954312,1321882.03,1065724.26,-0.193782627,1.227363541,0.932671462,-0.240101705
Jacksonville,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",807938.41,1040636.14,0.288014194,1214372.82,1068177.01,-0.120387917,1.503051234,1.026465417,-0.317078890
"Las Vegas",Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",1609219.58,1902548.67,0.182280338,2138122.10,1650450.56,-0.228084045,1.328670196,0.867494528,-0.347095667
"Los Angeles",Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",11638379.21,12475493.65,0.071927063,16716576.00,14112011.16,-0.155807316,1.436331958,1.131178577,-0.212453242
Louisville,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",559290.43,594554.86,0.063052080,660783.87,551307.47,-0.165676558,1.181468214,0.927260898,-0.215162213
"Miami/FT. Lauderdale",Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",3506033.98,4611078.38,0.315183598,5309283.53,4764690.15,-0.102573799,1.514327461,1.033313632,-0.317641885
Nashville,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",1229449.92,1379164.04,0.121773264,1564123.97,1268579.53,-0.188952058,1.272214468,0.919817720,-0.276994765
"Northern New England",Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",1850228.71,2156496.69,0.165529794,2672108.15,2371079.70,-0.112655785,1.444204237,1.099505376,-0.238677365
"New Orleans/Mobile",Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",1235142.60,1428858.56,0.156836918,1577281.92,1093326.96,-0.306828444,1.277003903,0.765175081,-0.400804430
"New York",Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",6348085.90,8311295.27,0.309260052,10455063.74,10175010.29,-0.026786393,1.646963179,1.224238817,-0.256668982
Orlando,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",2011900.68,2725487.65,0.354682995,2946756.85,2664225.35,-0.095878796,1.464663176,0.977522445,-0.332595739
Peoria/Springfield,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",498330.57,556659.22,0.117048123,608736.45,487585.60,-0.199020207,1.221551505,0.875913984,-0.282949609
Philadelphia,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",2186834.16,2665599.86,0.218930958,3310342.76,2858816.87,-0.136398530,1.513760311,1.072485378,-0.291509118
Phoenix/Tucson,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",5053881.40,5933812.08,0.174109879,6219141.51,4554128.09,-0.267723995,1.230567362,0.767487752,-0.376313906
Pittsburgh,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",496907.60,587933.80,0.183185357,832746.04,646382.43,-0.223794042,1.675856898,1.099413630,-0.343969267
Portland,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",2357085.65,2631761.19,0.116531849,3704516.89,2899710.87,-0.217249924,1.571651371,1.101813827,-0.298945143
Providence,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",334738.58,365453.64,0.091758348,603031.64,499244.39,-0.172109131,1.801500272,1.366095004,-0.241690370
Raleigh/Greensboro,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",1710533.87,1946916.61,0.138192376,2451630.39,2051615.20,-0.163162929,1.433254512,1.053776614,-0.264766582
Richmond/Norfolk,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",1372630.48,1431456.40,0.042856347,1787623.04,1461870.90,-0.182226417,1.302333785,1.021247240,-0.215832952
Roanoke,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",809734.02,855359.44,0.056346180,976926.03,848446.58,-0.131514004,1.206477696,0.991918182,-0.177839602
Sacramento,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",1797981.78,1849577.24,0.028696322,3014859.02,2375767.28,-0.211980640,1.676801764,1.284492055,-0.233963082
"San Diego",Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",2201258.95,2196689.48,-0.002075845,3106141.71,2490575.43,-0.198177140,1.411075104,1.133785839,-0.196509218
"San Francisco",Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",3540567.98,3528632.09,-0.003371179,5956545.14,4299779.74,-0.278142003,1.682369940,1.218540111,-0.275700259
Seattle,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",2135906.71,2296322.43,0.075104272,3995586.32,3307778.69,-0.172141851,1.870674550,1.440467878,-0.229974087
"South Carolina",Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",2104383.38,2433348.23,0.156323634,2930662.61,2468611.31,-0.157661037,1.392646723,1.014491585,-0.271537018
Spokane,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",287757.68,322451.61,0.120566477,471084.52,367924.23,-0.218984678,1.637087586,1.141021541,-0.303017413
"St. Louis",Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",861616.95,976741.80,0.133614891,1066798.50,834989.40,-0.217294175,1.238135459,0.854872183,-0.309548744
Syracuse,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",334396.13,381279.49,0.140203048,469382.46,393529.56,-0.161601474,1.403671919,1.032128856,-0.264693664
Tampa,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",2185851.21,2894728.74,0.324302734,3104656.60,2809890.91,-0.094943088,1.420342144,0.970692306,-0.316578537
Toledo,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",560885.67,588100.08,0.048520414,702616.72,558621.28,-0.204941665,1.252691508,0.949874519,-0.241733090
"West Tex/New Mexico",Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",3639602.65,4132348.72,0.135384577,4331174.98,3229246.29,-0.254417958,1.190013141,0.781455416,-0.343322027
Wichita,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",427480.90,533892.61,0.248927420,488347.84,419497.92,-0.140985422,1.142385185,0.785734633,-0.312198159
"Total U.S.",Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",152694485.10,173137933.10,0.133884652,220713727.90,179758886.20,-0.185556386,1.445459721,1.038240915,-0.281722693
California,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",23759395.09,26282992.26,0.106214706,37336379.38,31787822.67,-0.148609930,1.571436446,1.209444585,-0.230357303
"Great Lakes",Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",16710584.25,17452467.03,0.044395981,23639249.79,18174305.67,-0.231180946,1.414627366,1.041360264,-0.263862492
Midsouth,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",16182839.88,18371737.09,0.135260388,23529868.14,19393457.13,-0.175794058,1.454001171,1.055613687,-0.273993922
Northeast,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",21434153.35,23466582.68,0.094822002,33417539.43,28150777.51,-0.157604719,1.559079049,1.199611289,-0.230564165
Plains,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",7447100.10,8939955.54,0.200461309,10876987.52,8587779.22,-0.210463448,1.460566848,0.960606480,-0.342305707
"South Central",Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",20178109.64,23070407.28,0.143338385,24308705.43,19023433.63,-0.217423006,1.204706777,0.824581612,-0.315533350
Southeast,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",20458029.44,25367204.72,0.239963253,29037197.92,25335874.62,-0.127468336,1.419354587,0.998764937,-0.296324579
West,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",26524273.34,30186586.51,0.138074024,38567800.27,29305435.72,-0.240157968,1.454056809,0.970809857,-0.332343929
Albany,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",536063.29,531592.98,-0.008339131,670002.16,563651.33,-0.158732073,1.249856461,1.060306186,-0.151657635
Atlanta,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",3057255.33,3285875.45,0.074779532,4105411.00,3187460.85,-0.223595191,1.342842045,0.970049197,-0.277614817
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",3959058.48,4286212.44,0.082634284,6131210.07,5280732.21,-0.138712889,1.548653576,1.232027642,-0.204452396
Birmingham/Montgomery,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",1272133.01,1547546.44,0.216497354,1738868.24,1450317.22,-0.165941855,1.366891850,0.937172018,-0.314377346
Boise,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",463587.33,492354.59,0.062053596,769264.77,490948.43,-0.361795247,1.659373998,0.997144001,-0.399084232
Boston,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",2494042.39,2869985.99,0.150736650,4230022.97,3602066.48,-0.148452264,1.696050952,1.255081559,-0.259997727
Buffalo/Rochester,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",765814.20,806265.99,0.052821933,1142726.37,884024.07,-0.226390418,1.492171814,1.096442217,-0.265203774
Charlotte,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",1303013.94,1666017.22,0.278587415,2044206.75,1838567.66,-0.100596033,1.568829534,1.103570619,-0.296564352
Chicago,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",3690547.65,4069392.67,0.102652791,6014247.66,4525034.96,-0.247614130,1.629635555,1.111968132,-0.317658400
Cincinnati/Dayton,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",1366703.55,1236304.53,-0.095411341,1793907.98,1351238.26,-0.246762780,1.312580173,1.092965549,-0.167315207
Columbus,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",1098657.21,1020412.98,-0.071218055,1420928.45,1077274.98,-0.241851358,1.293331927,1.055724489,-0.183717290
"Dallas/Ft. Worth",Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",5710451.43,6003753.75,0.051362371,6509863.49,4901179.70,-0.247114827,1.139991045,0.816352553,-0.283895644
Denver,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",3743119.63,4083879.60,0.091036355,5732046.06,4151228.16,-0.275785974,1.531355294,1.016491318,-0.336214579
Detroit,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",1862141.18,1822237.60,-0.021428871,2577958.99,1968473.12,-0.236421865,1.384405766,1.080250523,-0.219700936
"Grand Rapids",Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",663503.42,751977.64,0.133344024,1111668.41,864903.77,-0.221976840,1.675452415,1.150172194,-0.313515452
Harrisburg/Scranton,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",1477860.89,1700916.65,0.150931498,2186245.53,1818976.86,-0.167990589,1.479331071,1.069409756,-0.277099105
Hartford/Springfield,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",1373271.32,1422303.54,0.035704685,2220815.50,1909027.52,-0.140393460,1.617171687,1.342208236,-0.170027371
Houston,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",3718830.11,4083461.73,0.098050088,4185122.65,3207463.47,-0.233603472,1.125386890,0.785476560,-0.302038644
Indianapolis,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",1109407.76,1103751.28,-0.005098641,1395761.57,1089555.06,-0.219383106,1.258114123,0.987138202,-0.215382624
Jacksonville,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",868879.88,1067974.46,0.229139364,1274881.22,1112548.28,-0.127331819,1.467269820,1.041736781,-0.290016896
"Las Vegas",Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",1503142.32,1878554.05,0.249751289,2128457.78,1749894.95,-0.177857802,1.416005487,0.931511632,-0.342155351
"Los Angeles",Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",11311446.97,12847857.86,0.135827971,17176984.58,15425397.12,-0.101972931,1.518548832,1.200620158,-0.209363484
Louisville,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",526875.33,576844.56,0.094840721,717758.81,552478.04,-0.230273405,1.362293458,0.957758955,-0.296951072
"Miami/FT. Lauderdale",Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",3563049.38,4771450.90,0.339148125,5296611.09,5082336.56,-0.040455025,1.486538783,1.065155372,-0.283466140
Nashville,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",1262325.25,1385913.88,0.097905534,1744520.89,1310033.55,-0.249058260,1.381990008,0.945248885,-0.316023358
"Northern New England",Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",2143598.77,2188688.49,0.021034589,2802048.90,2280715.81,-0.186054243,1.307170416,1.042046788,-0.202822543
"New Orleans/Mobile",Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",1189367.89,1377357.04,0.158058029,1564516.88,1141361.98,-0.270470010,1.315418795,0.828660944,-0.370040213
"New York",Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",7221789.65,8053190.24,0.115123899,11898475.36,10451463.17,-0.121613244,1.647579884,1.297804083,-0.212296718
Orlando,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",2082896.27,2762258.21,0.326162159,3069564.96,2795806.17,-0.089184881,1.473700351,1.012145122,-0.313194761
Peoria/Springfield,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",528052.39,541847.96,0.026125384,657919.86,500688.48,-0.238982565,1.245936719,0.924038700,-0.258358241
Philadelphia,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",2339030.20,2575230.93,0.100982336,3628057.30,2797969.26,-0.228796840,1.551094684,1.086492564,-0.299531759
Phoenix/Tucson,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",4845466.37,6067934.73,0.252291167,5668243.69,4878108.89,-0.139396758,1.169803535,0.803915848,-0.312777041
Pittsburgh,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",574408.43,612596.84,0.066483021,867477.49,668835.43,-0.228988149,1.510210239,1.091803591,-0.277051921
Portland,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",2472177.35,2775416.55,0.122660781,3915229.43,2820599.13,-0.279582672,1.583717056,1.016279565,-0.358294740
Providence,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",338667.96,413206.09,0.220092079,615148.90,542025.49,-0.118871080,1.816377650,1.311755813,-0.277817687
Raleigh/Greensboro,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",1635563.18,2017525.03,0.233535370,2503183.32,2131616.51,-0.148437715,1.530471798,1.056550216,-0.309657181
Richmond/Norfolk,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",1335301.32,1468909.28,0.100058289,1898720.09,1494075.44,-0.213114432,1.421941300,1.017132545,-0.284687388
Roanoke,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",801560.22,885669.39,0.104931808,1087850.54,862811.74,-0.206865551,1.357166328,0.974191674,-0.282186970
Sacramento,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",1802795.47,2005058.27,0.112193982,3092164.02,2580927.75,-0.165332842,1.715205118,1.287208351,-0.249530953
"San Diego",Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",2135102.83,2267152.23,0.061846856,3163209.02,2716795.07,-0.141126919,1.481525371,1.198329356,-0.191151647
"San Francisco",Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",3483259.93,3625549.16,0.040849442,5867256.18,4355875.65,-0.257595796,1.684415258,1.201438862,-0.286732380
Seattle,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",2319785.70,2345717.82,0.011178672,4374909.84,3268691.61,-0.252855093,1.885911209,1.393471791,-0.261114848
"South Carolina",Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",2080808.91,2505062.60,0.203888829,3047035.72,2553539.09,-0.161959582,1.464351539,1.019351410,-0.303888866
Spokane,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",320300.37,338418.03,0.056564606,544098.17,385054.46,-0.292307008,1.698712307,1.137807180,-0.330194303
"St. Louis",Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",911482.17,933001.17,0.023608795,1096339.03,848616.12,-0.225954661,1.202809078,0.909555256,-0.243807456
Syracuse,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",362799.80,371316.99,0.023476298,506812.33,399554.28,-0.211632670,1.396947677,1.076046326,-0.229716085
Tampa,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",2248046.22,2901912.60,0.290859847,3202427.00,2911558.95,-0.090827380,1.424537882,1.003324134,-0.295684483
Toledo,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",577321.40,557149.73,-0.034940097,736779.02,557788.24,-0.242936850,1.276202505,1.001146028,-0.215527298
"West Tex/New Mexico",Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",3594601.47,4153905.93,0.155595680,4437308.44,3387990.42,-0.236476241,1.234436828,0.815615586,-0.339281227
Wichita,Avocados,Hass,"Last 04 Wks",4,"2023-04-23 00:00:00",446423.76,509276.05,0.140790661,551103.29,455518.47,-0.173442658,1.234484684,0.894443138,-0.275452219
"Total U.S.",Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",154431703.10,180601049.70,0.169455793,231567334.90,187990158.60,-0.188183607,1.499480549,1.040913986,-0.305816947
California,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",25271369.80,26345763.80,0.042514276,39898613.81,31937944.80,-0.199522446,1.578806931,1.212261107,-0.232166338
"Great Lakes",Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",16587531.07,18717351.01,0.128398852,24036800.42,19505644.42,-0.188509116,1.449088494,1.042115650,-0.280847474
Midsouth,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",16538238.61,18949901.44,0.145823439,24524375.74,20512966.15,-0.163568265,1.482889220,1.082484055,-0.270016910
Northeast,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",22254466.57,25689720.17,0.154362433,36076448.30,30038581.35,-0.167363120,1.621087982,1.169284101,-0.278704109
Plains,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",7292417.59,9559470.70,0.310878125,11295832.37,9014342.97,-0.201976210,1.548983206,0.942975114,-0.391229608
"South Central",Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",18855095.63,23682996.83,0.256052862,24217868.69,19418876.80,-0.198159134,1.284420358,0.819950150,-0.361618535
Southeast,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",21414056.04,26815795.13,0.252252029,30664449.46,26142589.00,-0.147462633,1.431977641,0.974895165,-0.319196657
West,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",26218527.74,30840050.65,0.176269352,40852946.14,31419213.11,-0.230919283,1.558170868,1.018779556,-0.346169552
Albany,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",501460.99,579719.80,0.156061612,710487.26,621797.98,-0.124828816,1.416834558,1.072583644,-0.242971850
Atlanta,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",3125334.43,3531199.72,0.129862993,4561889.39,3554302.69,-0.220870480,1.459648395,1.006542528,-0.310421241
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",4036023.71,4304325.74,0.066476822,6359559.22,5396990.66,-0.151357749,1.575699173,1.253852748,-0.204256263
Birmingham/Montgomery,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",1314286.99,1623362.98,0.235166283,1856278.22,1504772.71,-0.189360361,1.412384228,0.926947777,-0.343699994
Boise,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",480880.95,510085.33,0.060730995,812114.13,545666.24,-0.328091684,1.688804937,1.069754807,-0.366561061
Boston,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",2583195.73,3103382.93,0.201373512,4534656.66,3763117.50,-0.170142797,1.755444471,1.212585615,-0.309242967
Buffalo/Rochester,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",763718.52,879533.60,0.151646278,1190529.18,954448.27,-0.198299139,1.558858588,1.085175453,-0.303865366
Charlotte,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",1391357.24,1745577.36,0.254586038,2158450.12,1869927.06,-0.133671404,1.551327053,1.071237003,-0.309470559
Chicago,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",3465472.82,4521965.76,0.304862566,5606362.92,4430034.27,-0.209820282,1.617777201,0.979670017,-0.394434526
Cincinnati/Dayton,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",1323230.73,1355053.96,0.024049642,1863458.55,1639360.68,-0.120259114,1.408264260,1.209812100,-0.140919688
Columbus,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",1074336.34,1070600.23,-0.003477590,1459768.20,1196863.65,-0.180100203,1.358762753,1.117937032,-0.177238978
"Dallas/Ft. Worth",Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",5231127.26,6243863.29,0.193598047,6524176.89,5072175.10,-0.222557085,1.247183744,0.812345637,-0.348656009
Denver,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",3721886.81,4391654.62,0.179953836,6276032.07,4620842.33,-0.263731880,1.686250117,1.052187100,-0.376019554
Detroit,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",1872059.24,1935031.12,0.033637760,2710304.17,2141281.33,-0.209947963,1.447766247,1.106587547,-0.235658692
"Grand Rapids",Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",684540.94,808976.45,0.181779501,1162428.20,951077.45,-0.181818328,1.698113481,1.175655295,-0.307669771
Harrisburg/Scranton,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",1469089.20,1768862.07,0.204053553,2349837.80,1946561.23,-0.171618897,1.599520166,1.100459590,-0.312006429
Hartford/Springfield,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",1459769.13,1676451.31,0.148435925,2369523.08,2072922.43,-0.125173145,1.623217700,1.236494266,-0.238244959
Houston,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",3311379.24,3873715.68,0.169819401,4063343.19,3178121.00,-0.217855629,1.227084816,0.820432180,-0.331397333
Indianapolis,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",1089828.36,1182504.16,0.085037053,1454849.01,1251768.78,-0.139588529,1.334934066,1.058574526,-0.207021116
Jacksonville,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",915484.23,1163390.61,0.270792629,1322340.58,1154335.17,-0.127051541,1.444416557,0.992216338,-0.313067735
"Las Vegas",Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",1488768.57,1768971.67,0.188211324,2214105.66,1764134.61,-0.203229258,1.487206078,0.997265609,-0.329436839
"Los Angeles",Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",11669236.96,12846104.89,0.100852175,18144721.55,15481914.66,-0.146753803,1.554919282,1.205183579,-0.224922095
Louisville,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",559168.75,625752.50,0.119076314,772067.80,659525.33,-0.145767601,1.380742041,1.053971541,-0.236662962
"Miami/FT. Lauderdale",Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",3928991.51,5171814.28,0.316321063,5724610.84,5139088.43,-0.102281609,1.457017869,0.993672268,-0.318009552
Nashville,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",1200530.43,1446609.33,0.204975142,1767161.68,1446348.19,-0.181541672,1.471984073,0.999819483,-0.320767458
"Northern New England",Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",2006782.09,2470241.56,0.230946586,3108825.17,2486802.83,-0.200082766,1.549159322,1.006704315,-0.350160890
"New Orleans/Mobile",Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",1133507.00,1405139.27,0.239638813,1501982.47,1178471.90,-0.215389042,1.325075606,0.838686906,-0.367064866
"New York",Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",7969073.02,8928673.97,0.120415631,12996143.70,11101837.44,-0.145759104,1.630822516,1.243391514,-0.237567852
Orlando,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",2181437.86,2937992.32,0.346814585,3162703.30,2853001.21,-0.097923218,1.449825069,0.971071703,-0.330214573
Peoria/Springfield,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",521625.90,577541.96,0.107195730,679014.37,554227.04,-0.183777155,1.301726720,0.959630766,-0.262801669
Philadelphia,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",2435720.61,2770814.15,0.137574704,3965690.00,3065812.71,-0.226915693,1.628138297,1.106466382,-0.320410076
Phoenix/Tucson,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",4455059.73,5651823.61,0.268630265,6170993.12,4813187.61,-0.220030307,1.385165070,0.851616743,-0.385187541
Pittsburgh,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",590792.84,625344.82,0.058484076,895433.63,690733.57,-0.228604386,1.515647388,1.104564323,-0.271226057
Portland,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",2667793.15,2941450.86,0.102578308,4117716.70,3280359.59,-0.203354716,1.543491743,1.115218220,-0.277470563
Providence,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",359252.14,427246.61,0.189266716,655830.50,537884.50,-0.179842200,1.825543768,1.258955574,-0.310366809
Raleigh/Greensboro,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",1717805.75,2094664.54,0.219383822,2617622.85,2197042.81,-0.160672514,1.523817727,1.048875735,-0.311679005
Richmond/Norfolk,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",1357836.75,1529877.62,0.126702174,1974421.47,1610900.89,-0.184114985,1.454093407,1.052960622,-0.275864524
Roanoke,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",800092.99,892935.41,0.116039538,1120812.00,928711.62,-0.171393931,1.400852168,1.040065848,-0.257547747
